2025-12-03 02:29:48 status unpacked mawk:amd64 1.3.4.20250131-1
2025-12-03 02:29:48 install mount:amd64 <none> 2.41.2-4
2025-12-03 02:29:48 status half-installed mount:amd64 2.41.2-4
2025-12-03 02:29:48 status unpacked mount:amd64 2.41.2-4
2025-12-03 02:29:48 install ncurses-base:all <none> 6.5+20250216-2
2025-12-03 02:29:48 status half-installed ncurses-base:all 6.5+20250216-2
2025-12-03 02:29:48 status unpacked ncurses-base:all 6.5+20250216-2
2025-12-03 02:29:48 install ncurses-bin:amd64 <none> 6.5+20250216-2
2025-12-03 02:29:48 status half-installed ncurses-bin:amd64 6.5+20250216-2
2025-12-03 02:29:48 status unpacked ncurses-bin:amd64 6.5+20250216-2
2025-12-03 02:29:48 install openssl-provider-legacy:amd64 <none> 3.5.4-1
2025-12-03 02:29:48 status half-installed openssl-provider-legacy:amd64 3.5.4-1
2025-12-03 02:29:48 status unpacked openssl-provider-legacy:amd64 3.5.4-1
2025-12-03 02:29:48 install passwd:amd64 <none> 1:4.18.0-2
2025-12-03 02:29:48 status half-installed passwd:amd64 1:4.18.0-2
2025-12-03 02:29:48 status unpacked passwd:amd64 1:4.18.0-2
2025-12-03 02:29:48 upgrade perl-base:amd64 5.40.1-6 5.40.1-6
2025-12-03 02:29:48 status half-configured perl-base:amd64 5.40.1-6
2025-12-03 02:29:48 status unpacked perl-base:amd64 5.40.1-6
2025-12-03 02:29:48 status half-installed perl-base:amd64 5.40.1-6
2025-12-03 02:29:49 status unpacked perl-base:amd64 5.40.1-6
2025-12-03 02:29:49 install sed:amd64 <none> 4.9-2
2025-12-03 02:29:49 status half-installed sed:amd64 4.9-2
2025-12-03 02:29:49 status unpacked sed:amd64 4.9-2
2025-12-03 02:29:49 install sqv:amd64 <none> 1.3.0-3
2025-12-03 02:29:49 status half-installed sqv:amd64 1.3.0-3
2025-12-03 02:29:49 status unpacked sqv:amd64 1.3.0-3
2025-12-03 02:29:49 install sysvinit-utils:amd64 <none> 3.15-6
2025-12-03 02:29:49 status half-installed sysvinit-utils:amd64 3.15-6
2025-12-03 02:29:49 status unpacked sysvinit-utils:amd64 3.15-6
